IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2573;1
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5576;185;5347;2
4115705;01;LESTE;Matinhos;4062;148;3900;3
4116208;01;LESTE;Morretes;2294;56;2215;2
4118204;01;LESTE;Paranaguá;24923;567;24135;7
4119954;01;LESTE;Pontal do Paraná;3826;130;3666;5
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11450;439;10370;18
4101804;02;LESTE;Araucária;30021;559;29436;24
4102307;02;LESTE;Balsa Nova;1767;37;1634;0
4103107;02;LESTE;Bocaiúva do Sul;2240;29;2157;2
4104006;02;LESTE;Campina Grande do Sul;6084;171;5812;5
4104204;02;LESTE;Campo Largo;21114;510;20560;10
4104253;02;LESTE;Campo Magro;3640;91;3310;1
4104105;02;LESTE;Campo do Tenente;368;19;349;1
4105201;02;LESTE;Cerro Azul;1490;54;1433;1
4105805;02;LESTE;Colombo;26682;899;25131;34
4106209;02;LESTE;Contenda;2698;72;2543;0
4106902;02;LESTE;Curitiba;222192;7869;209064;668
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16664;479;15859;31
4111258;02;LESTE;Itaperuçu;3982;123;3822;1
4113205;02;LESTE;Lapa;5024;136;4868;3
4114302;02;LESTE;Mandirituba;3676;98;3518;1
4119152;02;LESTE;Pinhais;19456;608;18236;30
4119509;02;LESTE;Piraquara;14008;347;13145;9
4119103;02;LESTE;Piên;1947;31;1900;0
4120804;02;LESTE;Quatro Barras;3886;106;3719;10
4121208;02;LESTE;Quitandinha;1745;60;1678;0
4122206;02;LESTE;Rio Branco do Sul;5756;157;5485;5
4122305;02;LESTE;Rio Negro;2240;72;2167;3
4125506;02;LESTE;São José dos Pinhais;35261;1114;33396;80
4127601;02;LESTE;Tijucas do Sul;2311;76;2233;2
4127882;02;LESTE;Tunas do Paraná;811;23;783;1
4101606;03;LESTE;Arapoti;3421;68;3332;0
4104659;03;LESTE;Carambeí;3886;72;3794;0
4104907;03;LESTE;Castro;12004;255;11578;3
4110508;03;LESTE;Ipiranga;1385;32;1286;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4405;95;4287;5
4119400;03;LESTE;Piraí do Sul;3427;86;3245;0
4119905;03;LESTE;Ponta Grossa;55150;1409;52028;12
4120101;03;LESTE;Porto Amazonas;520;20;484;0
4126306;03;LESTE;Sengés;2562;62;2494;0
4125100;03;LESTE;São João do Triunfo;854;10;655;1
4107736;04;LESTE;Fernandes Pinheiro;642;14;557;0
4108957;04;LESTE;Guamiranga;1305;21;1261;0
4110102;04;LESTE;Imbituva;5097;116;4951;2
4110201;04;LESTE;Inácio Martins;1399;19;1246;0
4110706;04;LESTE;Irati;9726;195;9506;2
4113908;04;LESTE;Mallet;880;14;865;0
4121505;04;LESTE;Rebouças;1956;42;1895;0
4122008;04;LESTE;Rio Azul;1458;24;1398;0
4127007;04;LESTE;Teixeira Soares;1029;16;997;2
4103040;05;LESTE;Boa Ventura de São Roque;625;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1586;0
4104451;05;LESTE;Cantagalo;1193;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;446;6;434;0
4109401;05;LESTE;Guarapuava;22902;615;21626;7
4113254;05;LESTE;Laranjal;414;13;399;0
4113304;05;LESTE;Laranjeiras do Sul;3120;101;2944;0
4115457;05;LESTE;Marquinho;391;8;379;0
4117057;05;LESTE;Nova Laranjeiras;1001;12;987;0
4117800;05;LESTE;Palmital;1502;39;1453;0
4119301;05;LESTE;Pinhão;2453;87;2343;0
4119608;05;LESTE;Pitanga;4012;57;3923;0
4120150;05;LESTE;Porto Barreiro;327;4;322;2
4120606;05;LESTE;Prudentópolis;4401;109;4241;2
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;0
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;385;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;1
4102901;06;LESTE;Bituruna;1482;22;1408;0
4106803;06;LESTE;Cruz Machado;1421;27;1389;1
4108502;06;LESTE;General Carneiro;910;35;863;1
4118600;06;LESTE;Paula Freitas;713;16;681;2
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4645;87;4501;1
4128203;06;LESTE;União da Vitória;8344;147;8177;0
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;3
4105409;07;OESTE;Chopinzinho;2662;53;2609;1
4105706;07;OESTE;Clevelândia;2257;89;2115;14
4106456;07;OESTE;Coronel Domingos Soares;1231;18;1213;1
4106506;07;OESTE;Coronel Vivida;3381;85;3285;1
4109658;07;OESTE;Honório Serpa;616;11;602;4
4111209;07;OESTE;Itapejara d'Oeste;2118;47;2068;17
4114401;07;OESTE;Mangueirinha;2183;51;2131;2
4115309;07;OESTE;Mariópolis;751;25;710;8
4117602;07;OESTE;Palmas;6910;165;6744;6
4118501;07;OESTE;Pato Branco;14134;304;13785;67
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;382;0
4124806;07;OESTE;São João;1620;25;1593;0
4128708;07;OESTE;Vitorino;1124;37;1086;2
4101002;08;OESTE;Ampére;2717;60;2635;2
4102604;08;OESTE;Barracão;1391;37;1352;2
4102752;08;OESTE;Bela Vista da Caroba;237;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;531;8;522;0
4104501;08;OESTE;Capanema;2786;28;2751;1
4106571;08;OESTE;Cruzeiro do Iguaçu;540;14;526;0
4107207;08;OESTE;Dois Vizinhos;7071;99;6942;2
4107405;08;OESTE;Enéas Marques;789;17;771;3
4107850;08;OESTE;Flor da Serra do Sul;637;25;608;0
4108403;08;OESTE;Francisco Beltrão;16827;280;16053;29
4114351;08;OESTE;Manfrinópolis;244;5;238;3
4115408;08;OESTE;Marmeleiro;2401;50;2346;1
4116950;08;OESTE;Nova Esperança do Sudoeste;668;11;637;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;0
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1279;20;1259;2
4120358;08;OESTE;Pranchita;762;8;728;0
4119004;08;OESTE;Pérola d'Oeste;526;8;514;0
4121406;08;OESTE;Realeza;2598;42;2552;1
4121604;08;OESTE;Renascença;848;21;818;1
4122800;08;OESTE;Salgado Filho;500;11;488;0
4123006;08;OESTE;Salto do Lontra;1855;30;1820;0
4123808;08;OESTE;Santa Izabel do Oeste;1360;35;1318;0
4124400;08;OESTE;Santo Antônio do Sudoeste;2526;32;2428;3
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1190;24;1166;0
4108304;09;OESTE;Foz do Iguaçu;46083;1189;42531;1353
4110953;09;OESTE;Itaipulândia;1604;27;1561;0
4115606;09;OESTE;Matelândia;3077;66;2970;2
4115804;09;OESTE;Medianeira;8287;146;8065;3
4116059;09;OESTE;Missal;1283;21;1253;3
4121257;09;OESTE;Ramilândia;486;12;470;0
4124053;09;OESTE;Santa Terezinha de Itaipu;3658;111;3537;48
4126355;09;OESTE;Serranópolis do Iguaçu;670;14;656;0
4125704;09;OESTE;São Miguel do Iguaçu;3707;77;3590;2
4101051;10;OESTE;Anahy;470;13;456;0
4103057;10;OESTE;Boa Vista da Aparecida;1169;35;1132;0
4103354;10;OESTE;Braganey;683;11;671;0
4103453;10;OESTE;Cafelândia;3022;43;2978;1
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;2000;31;1965;0
4104808;10;OESTE;Cascavel;49866;1133;48108;64
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2989;46;2926;0
4105300;10;OESTE;Céu Azul;1690;35;1647;8
4107124;10;OESTE;Diamante do Sul;550;17;530;0
4107546;10;OESTE;Espigão Alto do Iguaçu;506;7;499;0
4108205;10;OESTE;Formosa do Oeste;738;22;713;0
4109302;10;OESTE;Guaraniaçu;1861;32;1737;3
4109757;10;OESTE;Ibema;579;27;550;1
4110052;10;OESTE;Iguatu;333;12;320;0
4110656;10;OESTE;Iracema do Oeste;247;5;237;0
4112751;10;OESTE;Jesuítas;1134;21;1112;0
4113452;10;OESTE;Lindoeste;639;10;594;0
4116703;10;OESTE;Nova Aurora;1839;48;1785;0
4120903;10;OESTE;Quedas do Iguaçu;3956;81;3869;0
4123824;10;OESTE;Santa Lúcia;274;8;265;0
4124020;10;OESTE;Santa Tereza do Oeste;1344;35;1254;2
4127858;10;OESTE;Três Barras do Paraná;1594;58;1535;0
4128559;10;OESTE;Vera Cruz do Oeste;1258;48;1206;4
4100459;11;NOROESTE;Altamira do Paraná;312;13;299;0
4101705;11;NOROESTE;Araruna;2227;37;2181;0
4102505;11;NOROESTE;Barbosa Ferraz;1522;46;1430;0
