IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2572;0
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5573;185;5342;3
4115705;01;LESTE;Matinhos;4058;148;3899;2
4116208;01;LESTE;Morretes;2294;56;2215;2
4118204;01;LESTE;Paranaguá;24729;567;23938;6
4119954;01;LESTE;Pontal do Paraná;3816;130;3661;3
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11439;439;10363;22
4101804;02;LESTE;Araucária;29993;558;29400;25
4102307;02;LESTE;Balsa Nova;1768;37;1636;0
4103107;02;LESTE;Bocaiúva do Sul;2240;30;2151;1
4104006;02;LESTE;Campina Grande do Sul;6081;171;5812;6
4104204;02;LESTE;Campo Largo;21096;510;20539;9
4104253;02;LESTE;Campo Magro;3641;92;3310;1
4104105;02;LESTE;Campo do Tenente;368;19;349;2
4105201;02;LESTE;Cerro Azul;1488;54;1433;1
4105805;02;LESTE;Colombo;26671;900;25095;27
4106209;02;LESTE;Contenda;2689;73;2543;0
4106902;02;LESTE;Curitiba;221450;7872;208454;600
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16658;480;15853;30
4111258;02;LESTE;Itaperuçu;3981;123;3821;0
4113205;02;LESTE;Lapa;5017;136;4859;5
4114302;02;LESTE;Mandirituba;3673;98;3518;3
4119152;02;LESTE;Pinhais;19462;608;18248;24
4119509;02;LESTE;Piraquara;14000;347;13141;8
4119103;02;LESTE;Piên;1942;31;1898;0
4120804;02;LESTE;Quatro Barras;3869;106;3705;8
4121208;02;LESTE;Quitandinha;1743;60;1678;0
4122206;02;LESTE;Rio Branco do Sul;5746;157;5484;6
4122305;02;LESTE;Rio Negro;2240;72;2167;2
4125506;02;LESTE;São José dos Pinhais;35229;1114;33373;78
4127601;02;LESTE;Tijucas do Sul;2310;76;2232;1
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3420;68;3328;0
4104659;03;LESTE;Carambeí;3883;73;3790;0
4104907;03;LESTE;Castro;11997;254;11572;3
4110508;03;LESTE;Ipiranga;1379;32;1284;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4400;95;4284;5
4119400;03;LESTE;Piraí do Sul;3426;86;3246;1
4119905;03;LESTE;Ponta Grossa;54797;1409;51664;49
4120101;03;LESTE;Porto Amazonas;522;22;484;0
4126306;03;LESTE;Sengés;2559;62;2492;0
4125100;03;LESTE;São João do Triunfo;854;10;655;0
4107736;04;LESTE;Fernandes Pinheiro;641;14;557;0
4108957;04;LESTE;Guamiranga;1304;21;1261;0
4110102;04;LESTE;Imbituva;5088;116;4944;2
4110201;04;LESTE;Inácio Martins;1399;19;1246;1
4110706;04;LESTE;Irati;9704;195;9470;2
4113908;04;LESTE;Mallet;880;14;864;0
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1396;0
4127007;04;LESTE;Teixeira Soares;1021;16;989;2
4103040;05;LESTE;Boa Ventura de São Roque;624;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1548;0
4104451;05;LESTE;Cantagalo;1193;30;1111;1
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;445;6;434;0
4109401;05;LESTE;Guarapuava;22891;615;21623;6
4113254;05;LESTE;Laranjal;414;13;399;0
4113304;05;LESTE;Laranjeiras do Sul;3110;101;2932;1
4115457;05;LESTE;Marquinho;391;8;379;0
4117057;05;LESTE;Nova Laranjeiras;1000;12;986;0
4117800;05;LESTE;Palmital;1499;39;1451;0
4119301;05;LESTE;Pinhão;2455;89;2343;0
4119608;05;LESTE;Pitanga;3999;56;3912;0
4120150;05;LESTE;Porto Barreiro;325;4;320;2
4120606;05;LESTE;Prudentópolis;4383;109;4227;2
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;1
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;384;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;0
4102901;06;LESTE;Bituruna;1481;22;1408;0
4106803;06;LESTE;Cruz Machado;1421;27;1389;1
4108502;06;LESTE;General Carneiro;910;35;863;0
4118600;06;LESTE;Paula Freitas;712;16;680;2
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4638;87;4495;1
4128203;06;LESTE;União da Vitória;8340;147;8167;1
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;3
4105409;07;OESTE;Chopinzinho;2661;53;2607;2
4105706;07;OESTE;Clevelândia;2257;89;2115;21
4106456;07;OESTE;Coronel Domingos Soares;1229;18;1211;1
4106506;07;OESTE;Coronel Vivida;3377;85;3282;1
4109658;07;OESTE;Honório Serpa;616;11;602;1
4111209;07;OESTE;Itapejara d'Oeste;2117;46;2067;16
4114401;07;OESTE;Mangueirinha;2182;51;2129;2
4115309;07;OESTE;Mariópolis;749;25;708;16
4117602;07;OESTE;Palmas;6905;165;6739;3
4118501;07;OESTE;Pato Branco;14085;304;13747;81
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;382;0
4124806;07;OESTE;São João;1618;25;1593;0
4128708;07;OESTE;Vitorino;1123;37;1086;1
4101002;08;OESTE;Ampére;2709;60;2633;0
4102604;08;OESTE;Barracão;1391;37;1350;1
4102752;08;OESTE;Bela Vista da Caroba;234;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;521;0
4104501;08;OESTE;Capanema;2782;28;2750;2
4106571;08;OESTE;Cruzeiro do Iguaçu;540;14;526;0
4107207;08;OESTE;Dois Vizinhos;7055;99;6933;3
4107405;08;OESTE;Enéas Marques;789;17;771;0
4107850;08;OESTE;Flor da Serra do Sul;636;25;608;0
4108403;08;OESTE;Francisco Beltrão;16824;280;16052;8
4114351;08;OESTE;Manfrinópolis;243;5;238;0
4115408;08;OESTE;Marmeleiro;2394;50;2339;0
4116950;08;OESTE;Nova Esperança do Sudoeste;668;11;637;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;1
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1278;20;1258;3
4120358;08;OESTE;Pranchita;748;8;712;1
4119004;08;OESTE;Pérola d'Oeste;524;8;514;0
4121406;08;OESTE;Realeza;2591;42;2547;7
4121604;08;OESTE;Renascença;847;21;817;0
4122800;08;OESTE;Salgado Filho;500;11;488;0
4123006;08;OESTE;Salto do Lontra;1851;30;1817;0
4123808;08;OESTE;Santa Izabel do Oeste;1355;35;1314;2
4124400;08;OESTE;Santo Antônio do Sudoeste;2474;32;2360;3
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1189;23;1165;0
4108304;09;OESTE;Foz do Iguaçu;45958;1188;42528;6517
4110953;09;OESTE;Itaipulândia;1599;27;1556;5
4115606;09;OESTE;Matelândia;3069;65;2958;7
4115804;09;OESTE;Medianeira;8276;147;8056;5
4116059;09;OESTE;Missal;1280;21;1251;15
4121257;09;OESTE;Ramilândia;486;12;469;1
4124053;09;OESTE;Santa Terezinha de Itaipu;3649;111;3525;71
4126355;09;OESTE;Serranópolis do Iguaçu;669;14;655;1
4125704;09;OESTE;São Miguel do Iguaçu;3691;77;3565;17
4101051;10;OESTE;Anahy;470;13;455;0
4103057;10;OESTE;Boa Vista da Aparecida;1167;35;1131;0
4103354;10;OESTE;Braganey;683;11;671;0
4103453;10;OESTE;Cafelândia;3022;43;2978;1
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;1996;31;1961;0
4104808;10;OESTE;Cascavel;49842;1131;48096;94
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2985;46;2924;0
