IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2659;73;2576;0
4109500;01;LESTE;Guaraqueçaba;761;19;740;0
4109609;01;LESTE;Guaratuba;5607;185;5383;1
4115705;01;LESTE;Matinhos;4081;148;3911;1
4116208;01;LESTE;Morretes;2296;56;2217;2
4118204;01;LESTE;Paranaguá;25342;568;24508;11
4119954;01;LESTE;Pontal do Paraná;3853;130;3675;0
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;980;33;919;0
4100400;02;LESTE;Almirante Tamandaré;11504;440;10408;13
4101804;02;LESTE;Araucária;30123;559;29496;31
4102307;02;LESTE;Balsa Nova;1763;37;1628;2
4103107;02;LESTE;Bocaiúva do Sul;2249;29;2159;6
4104006;02;LESTE;Campina Grande do Sul;6102;171;5814;3
4104204;02;LESTE;Campo Largo;21196;507;20624;10
4104253;02;LESTE;Campo Magro;3653;91;3309;1
4104105;02;LESTE;Campo do Tenente;369;19;349;1
4105201;02;LESTE;Cerro Azul;1498;54;1433;1
4105805;02;LESTE;Colombo;26745;898;25149;33
4106209;02;LESTE;Contenda;2717;72;2542;1
4106902;02;LESTE;Curitiba;224255;7873;209797;580
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16686;479;15868;26
4111258;02;LESTE;Itaperuçu;3984;123;3822;0
4113205;02;LESTE;Lapa;5028;135;4861;4
4114302;02;LESTE;Mandirituba;3677;98;3520;2
4119152;02;LESTE;Pinhais;19521;608;18695;21
4119509;02;LESTE;Piraquara;14036;347;13157;7
4119103;02;LESTE;Piên;1951;31;1903;0
4120804;02;LESTE;Quatro Barras;3909;107;3734;7
4121208;02;LESTE;Quitandinha;1748;60;1680;2
4122206;02;LESTE;Rio Branco do Sul;5763;157;5487;2
4122305;02;LESTE;Rio Negro;2243;72;2167;38
4125506;02;LESTE;São José dos Pinhais;36014;1116;34064;68
4127601;02;LESTE;Tijucas do Sul;2319;76;2236;1
4127882;02;LESTE;Tunas do Paraná;810;23;782;0
4101606;03;LESTE;Arapoti;3428;68;3335;2
4104659;03;LESTE;Carambeí;3897;72;3798;1
4104907;03;LESTE;Castro;12025;254;11611;3
4110508;03;LESTE;Ipiranga;1393;32;1287;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4862;156;4694;0
4117701;03;LESTE;Palmeira;4410;93;4294;13
4119400;03;LESTE;Piraí do Sul;3435;86;3246;0
4119905;03;LESTE;Ponta Grossa;55863;1404;52738;36
4120101;03;LESTE;Porto Amazonas;550;20;514;0
4126306;03;LESTE;Sengés;2567;62;2501;0
4125100;03;LESTE;São João do Triunfo;855;10;656;0
4107736;04;LESTE;Fernandes Pinheiro;641;14;557;1
4108957;04;LESTE;Guamiranga;1314;21;1276;0
4110102;04;LESTE;Imbituva;5107;117;4965;0
4110201;04;LESTE;Inácio Martins;1403;19;1247;0
4110706;04;LESTE;Irati;9841;193;9574;4
4113908;04;LESTE;Mallet;882;14;866;2
4121505;04;LESTE;Rebouças;1965;42;1896;0
4122008;04;LESTE;Rio Azul;1462;24;1399;0
4127007;04;LESTE;Teixeira Soares;1031;16;1004;2
4103040;05;LESTE;Boa Ventura de São Roque;626;8;573;0
4103958;05;LESTE;Campina do Simão;413;15;394;0
4104428;05;LESTE;Candói;1629;33;1585;0
4104451;05;LESTE;Cantagalo;1205;33;1110;0
4108452;05;LESTE;Foz do Jordão;581;17;539;0
4108650;05;LESTE;Goioxim;448;7;435;0
4109401;05;LESTE;Guarapuava;23132;621;21628;2
4113254;05;LESTE;Laranjal;414;13;399;0
4113304;05;LESTE;Laranjeiras do Sul;3155;102;2966;2
4115457;05;LESTE;Marquinho;391;8;379;0
4117057;05;LESTE;Nova Laranjeiras;1003;12;989;0
4117800;05;LESTE;Palmital;1506;39;1457;1
4119301;05;LESTE;Pinhão;2455;87;2345;0
4119608;05;LESTE;Pitanga;4017;58;3936;0
4120150;05;LESTE;Porto Barreiro;327;4;322;0
4120606;05;LESTE;Prudentópolis;4443;127;4259;1
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1005;15;983;0
4127965;05;LESTE;Turvo;2567;36;2527;0
4128658;05;LESTE;Virmond;414;8;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;0
4102901;06;LESTE;Bituruna;1483;22;1411;0
4106803;06;LESTE;Cruz Machado;1421;27;1389;0
4108502;06;LESTE;General Carneiro;914;35;865;0
4118600;06;LESTE;Paula Freitas;713;16;682;1
4118709;06;LESTE;Paulo Frontin;464;2;395;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4680;87;4532;1
4128203;06;LESTE;União da Vitória;8359;147;8181;1
4103222;07;OESTE;Bom Sucesso do Sul;529;9;520;1
4105409;07;OESTE;Chopinzinho;2664;53;2611;4
4105706;07;OESTE;Clevelândia;2258;89;2115;16
4106456;07;OESTE;Coronel Domingos Soares;1231;18;1213;0
4106506;07;OESTE;Coronel Vivida;3391;86;3295;2
4109658;07;OESTE;Honório Serpa;617;11;602;1
4111209;07;OESTE;Itapejara d'Oeste;2131;47;2071;20
4114401;07;OESTE;Mangueirinha;2184;51;2132;1
4115309;07;OESTE;Mariópolis;751;25;713;10
4117602;07;OESTE;Palmas;6917;165;6745;2
4118501;07;OESTE;Pato Branco;14200;304;13847;65
4126272;07;OESTE;Saudade do Iguaçu;869;15;854;1
4126652;07;OESTE;Sulina;389;7;382;1
4124806;07;OESTE;São João;1623;25;1595;1
4128708;07;OESTE;Vitorino;1126;37;1088;3
4101002;08;OESTE;Ampére;2757;60;2668;5
4102604;08;OESTE;Barracão;1408;37;1357;2
4102752;08;OESTE;Bela Vista da Caroba;239;7;230;2
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;533;8;524;0
4104501;08;OESTE;Capanema;2795;28;2763;0
4106571;08;OESTE;Cruzeiro do Iguaçu;541;14;527;0
4107207;08;OESTE;Dois Vizinhos;7115;99;6979;8
4107405;08;OESTE;Enéas Marques;789;17;772;6
4107850;08;OESTE;Flor da Serra do Sul;637;25;611;0
4108403;08;OESTE;Francisco Beltrão;16885;283;16058;131
