IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2572;1
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5570;185;5340;1
4115705;01;LESTE;Matinhos;4052;148;3892;1
4116208;01;LESTE;Morretes;2294;56;2214;3
4118204;01;LESTE;Paranaguá;24658;567;23864;3
4119954;01;LESTE;Pontal do Paraná;3813;130;3660;0
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;975;33;916;0
4100400;02;LESTE;Almirante Tamandaré;11430;439;10356;13
4101804;02;LESTE;Araucária;29960;557;29367;28
4102307;02;LESTE;Balsa Nova;1768;37;1636;0
4103107;02;LESTE;Bocaiúva do Sul;2240;30;2151;0
4104006;02;LESTE;Campina Grande do Sul;6081;170;5813;4
4104204;02;LESTE;Campo Largo;21080;512;20521;8
4104253;02;LESTE;Campo Magro;3638;92;3311;2
4104105;02;LESTE;Campo do Tenente;367;19;348;0
4105201;02;LESTE;Cerro Azul;1488;54;1433;1
4105805;02;LESTE;Colombo;26645;899;25070;23
4106209;02;LESTE;Contenda;2688;73;2543;0
4106902;02;LESTE;Curitiba;219590;7862;206770;504
4128633;02;LESTE;Doutor Ulysses;365;8;353;1
4107652;02;LESTE;Fazenda Rio Grande;16647;480;15833;22
4111258;02;LESTE;Itaperuçu;3976;123;3813;3
4113205;02;LESTE;Lapa;5014;135;4858;2
4114302;02;LESTE;Mandirituba;3673;97;3519;2
4119152;02;LESTE;Pinhais;19479;609;18266;13
4119509;02;LESTE;Piraquara;13986;347;13139;10
4119103;02;LESTE;Piên;1942;31;1898;1
4120804;02;LESTE;Quatro Barras;3854;106;3691;7
4121208;02;LESTE;Quitandinha;1743;60;1678;2
4122206;02;LESTE;Rio Branco do Sul;5744;158;5483;2
4122305;02;LESTE;Rio Negro;2241;72;2168;6
4125506;02;LESTE;São José dos Pinhais;35202;1113;33330;63
4127601;02;LESTE;Tijucas do Sul;2309;76;2226;0
4127882;02;LESTE;Tunas do Paraná;811;23;783;1
4101606;03;LESTE;Arapoti;3422;67;3320;0
4104659;03;LESTE;Carambeí;3881;73;3788;0
4104907;03;LESTE;Castro;11987;254;11565;6
4110508;03;LESTE;Ipiranga;1379;32;1284;0
4111407;03;LESTE;Ivaí;1226;25;1184;0
4112009;03;LESTE;Jaguariaíva;4852;156;4692;0
4117701;03;LESTE;Palmeira;4391;96;4273;6
4119400;03;LESTE;Piraí do Sul;3424;86;3245;1
4119905;03;LESTE;Ponta Grossa;54359;1403;51167;57
4120101;03;LESTE;Porto Amazonas;521;22;483;0
4126306;03;LESTE;Sengés;2554;62;2487;0
4125100;03;LESTE;São João do Triunfo;854;10;655;0
4107736;04;LESTE;Fernandes Pinheiro;640;14;556;1
4108957;04;LESTE;Guamiranga;1304;21;1261;1
4110102;04;LESTE;Imbituva;5081;116;4932;0
4110201;04;LESTE;Inácio Martins;1399;19;1246;0
4110706;04;LESTE;Irati;9690;195;9461;4
4113908;04;LESTE;Mallet;879;14;861;0
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1396;0
4127007;04;LESTE;Teixeira Soares;1018;16;964;2
4103040;05;LESTE;Boa Ventura de São Roque;624;8;572;0
4103958;05;LESTE;Campina do Simão;411;15;392;0
4104428;05;LESTE;Candói;1628;33;1516;0
4104451;05;LESTE;Cantagalo;1192;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;445;6;434;0
4109401;05;LESTE;Guarapuava;22885;614;21625;14
4113254;05;LESTE;Laranjal;414;13;397;0
4113304;05;LESTE;Laranjeiras do Sul;3086;100;2909;1
4115457;05;LESTE;Marquinho;391;8;377;0
4117057;05;LESTE;Nova Laranjeiras;1000;12;981;0
4117800;05;LESTE;Palmital;1498;39;1448;0
4119301;05;LESTE;Pinhão;2455;89;2343;0
4119608;05;LESTE;Pitanga;3997;54;3898;0
4120150;05;LESTE;Porto Barreiro;324;4;319;0
4120606;05;LESTE;Prudentópolis;4355;109;4217;0
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;2
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;383;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;1
4102901;06;LESTE;Bituruna;1480;22;1408;0
4106803;06;LESTE;Cruz Machado;1420;27;1388;1
4108502;06;LESTE;General Carneiro;909;35;862;0
4118600;06;LESTE;Paula Freitas;711;16;680;0
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4630;87;4489;2
4128203;06;LESTE;União da Vitória;8335;147;8141;8
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;2
4105409;07;OESTE;Chopinzinho;2660;52;2608;1
4105706;07;OESTE;Clevelândia;2258;89;2116;21
4106456;07;OESTE;Coronel Domingos Soares;1229;18;1211;1
4106506;07;OESTE;Coronel Vivida;3372;85;3275;0
4109658;07;OESTE;Honório Serpa;616;11;602;3
4111209;07;OESTE;Itapejara d'Oeste;2117;46;2066;16
4114401;07;OESTE;Mangueirinha;2181;51;2128;1
4115309;07;OESTE;Mariópolis;747;25;706;16
4117602;07;OESTE;Palmas;6904;165;6738;5
4118501;07;OESTE;Pato Branco;13998;306;13652;79
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;381;0
4124806;07;OESTE;São João;1618;25;1593;0
4128708;07;OESTE;Vitorino;1123;37;1086;1
4101002;08;OESTE;Ampére;2706;60;2618;1
4102604;08;OESTE;Barracão;1390;37;1350;2
4102752;08;OESTE;Bela Vista da Caroba;234;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;520;1
4104501;08;OESTE;Capanema;2773;28;2730;1
