IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2658;73;2575;1
4109500;01;LESTE;Guaraqueçaba;761;19;740;0
4109609;01;LESTE;Guaratuba;5581;185;5351;0
4115705;01;LESTE;Matinhos;4066;148;3908;1
4116208;01;LESTE;Morretes;2295;56;2216;2
4118204;01;LESTE;Paranaguá;25238;567;24432;6
4119954;01;LESTE;Pontal do Paraná;3832;130;3671;1
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11483;440;10396;9
4101804;02;LESTE;Araucária;30052;559;29470;21
4102307;02;LESTE;Balsa Nova;1767;37;1633;0
4103107;02;LESTE;Bocaiúva do Sul;2241;29;2158;0
4104006;02;LESTE;Campina Grande do Sul;6087;171;5814;2
4104204;02;LESTE;Campo Largo;21152;509;20597;6
4104253;02;LESTE;Campo Magro;3643;91;3310;0
4104105;02;LESTE;Campo do Tenente;368;19;349;0
4105201;02;LESTE;Cerro Azul;1491;54;1433;1
4105805;02;LESTE;Colombo;26697;898;25146;20
4106209;02;LESTE;Contenda;2701;72;2543;0
4106902;02;LESTE;Curitiba;223140;7872;209736;456
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16672;479;15865;19
4111258;02;LESTE;Itaperuçu;3982;123;3822;0
4113205;02;LESTE;Lapa;5026;136;4870;2
4114302;02;LESTE;Mandirituba;3676;98;3519;1
4119152;02;LESTE;Pinhais;19436;608;18215;14
4119509;02;LESTE;Piraquara;14020;347;13153;2
4119103;02;LESTE;Piên;1948;31;1903;1
4120804;02;LESTE;Quatro Barras;3897;107;3728;7
4121208;02;LESTE;Quitandinha;1746;60;1679;0
4122206;02;LESTE;Rio Branco do Sul;5759;157;5485;1
4122305;02;LESTE;Rio Negro;2240;72;2167;7
4125506;02;LESTE;São José dos Pinhais;35327;1116;33446;54
4127601;02;LESTE;Tijucas do Sul;2313;76;2233;0
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3423;68;3334;0
4104659;03;LESTE;Carambeí;3891;72;3797;0
4104907;03;LESTE;Castro;12015;255;11606;1
4110508;03;LESTE;Ipiranga;1387;32;1287;0
4111407;03;LESTE;Ivaí;1226;25;1188;1
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4408;94;4290;11
4119400;03;LESTE;Piraí do Sul;3433;86;3247;0
4119905;03;LESTE;Ponta Grossa;55533;1411;52466;12
