IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2658;73;2575;1
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5581;185;5351;0
4115705;01;LESTE;Matinhos;4066;148;3908;1
4116208;01;LESTE;Morretes;2295;56;2216;2
4118204;01;LESTE;Paranaguá;25212;567;24409;2
4119954;01;LESTE;Pontal do Paraná;3832;130;3671;0
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;1
4100400;02;LESTE;Almirante Tamandaré;11478;440;10393;12
4101804;02;LESTE;Araucária;30050;559;29468;20
4102307;02;LESTE;Balsa Nova;1767;37;1633;0
4103107;02;LESTE;Bocaiúva do Sul;2241;29;2158;0
4104006;02;LESTE;Campina Grande do Sul;6086;171;5814;2
4104204;02;LESTE;Campo Largo;21148;509;20592;8
4104253;02;LESTE;Campo Magro;3643;91;3310;0
4104105;02;LESTE;Campo do Tenente;368;19;349;0
4105201;02;LESTE;Cerro Azul;1491;54;1433;1
4105805;02;LESTE;Colombo;26693;898;25145;18
4106209;02;LESTE;Contenda;2700;72;2543;0
4106902;02;LESTE;Curitiba;223062;7872;209687;415
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16670;479;15864;18
4111258;02;LESTE;Itaperuçu;3982;123;3822;0
4113205;02;LESTE;Lapa;5025;136;4869;3
4114302;02;LESTE;Mandirituba;3676;98;3519;1
4119152;02;LESTE;Pinhais;19449;608;18224;14
4119509;02;LESTE;Piraquara;14018;347;13152;2
4119103;02;LESTE;Piên;1948;31;1903;3
4120804;02;LESTE;Quatro Barras;3896;107;3728;7
4121208;02;LESTE;Quitandinha;1746;60;1679;0
4122206;02;LESTE;Rio Branco do Sul;5759;157;5485;0
4122305;02;LESTE;Rio Negro;2240;72;2167;3
4125506;02;LESTE;São José dos Pinhais;35308;1116;33430;52
4127601;02;LESTE;Tijucas do Sul;2313;76;2233;0
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3423;68;3333;0
4104659;03;LESTE;Carambeí;3891;72;3797;0
4104907;03;LESTE;Castro;12014;255;11598;6
4110508;03;LESTE;Ipiranga;1387;32;1287;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4409;95;4290;11
4119400;03;LESTE;Piraí do Sul;3430;86;3247;0
4119905;03;LESTE;Ponta Grossa;55481;1411;52404;13
4120101;03;LESTE;Porto Amazonas;521;20;485;0
4126306;03;LESTE;Sengés;2564;62;2498;0
4125100;03;LESTE;São João do Triunfo;855;10;656;0
4107736;04;LESTE;Fernandes Pinheiro;641;14;557;0
