IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2573;1
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5575;185;5347;3
4115705;01;LESTE;Matinhos;4061;148;3900;3
4116208;01;LESTE;Morretes;2294;56;2215;3
4118204;01;LESTE;Paranaguá;24872;567;24086;7
4119954;01;LESTE;Pontal do Paraná;3820;130;3662;5
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11450;439;10370;21
4101804;02;LESTE;Araucária;30013;559;29425;28
4102307;02;LESTE;Balsa Nova;1767;37;1634;1
4103107;02;LESTE;Bocaiúva do Sul;2240;29;2157;2
4104006;02;LESTE;Campina Grande do Sul;6083;171;5812;5
4104204;02;LESTE;Campo Largo;21106;510;20553;13
4104253;02;LESTE;Campo Magro;3639;91;3310;1
4104105;02;LESTE;Campo do Tenente;368;19;349;1
4105201;02;LESTE;Cerro Azul;1489;54;1433;1
4105805;02;LESTE;Colombo;26680;900;25128;34
4106209;02;LESTE;Contenda;2695;72;2543;0
4106902;02;LESTE;Curitiba;222134;7872;209015;684
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16662;479;15858;34
4111258;02;LESTE;Itaperuçu;3982;123;3822;1
4113205;02;LESTE;Lapa;5020;136;4864;5
4114302;02;LESTE;Mandirituba;3674;98;3518;1
4119152;02;LESTE;Pinhais;19455;608;18236;32
4119509;02;LESTE;Piraquara;14008;347;13145;9
4119103;02;LESTE;Piên;1946;31;1899;0
4120804;02;LESTE;Quatro Barras;3882;106;3717;10
4121208;02;LESTE;Quitandinha;1744;60;1678;0
4122206;02;LESTE;Rio Branco do Sul;5753;157;5485;5
4122305;02;LESTE;Rio Negro;2240;72;2167;5
4125506;02;LESTE;São José dos Pinhais;35254;1114;33392;86
4127601;02;LESTE;Tijucas do Sul;2311;76;2233;2
4127882;02;LESTE;Tunas do Paraná;811;23;783;1
4101606;03;LESTE;Arapoti;3421;68;3332;0
4104659;03;LESTE;Carambeí;3884;72;3792;0
4104907;03;LESTE;Castro;12003;255;11578;3
4110508;03;LESTE;Ipiranga;1383;32;1286;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4401;95;4285;5
4119400;03;LESTE;Piraí do Sul;3427;86;3246;0
4119905;03;LESTE;Ponta Grossa;55053;1411;51948;13
4120101;03;LESTE;Porto Amazonas;521;21;484;0
4126306;03;LESTE;Sengés;2561;62;2493;0
4125100;03;LESTE;São João do Triunfo;854;10;655;1
4107736;04;LESTE;Fernandes Pinheiro;642;14;557;1
4108957;04;LESTE;Guamiranga;1305;21;1261;0
4110102;04;LESTE;Imbituva;5094;116;4951;3
4110201;04;LESTE;Inácio Martins;1399;19;1246;1
4110706;04;LESTE;Irati;9719;195;9498;2
4113908;04;LESTE;Mallet;880;14;865;0
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1398;0
4127007;04;LESTE;Teixeira Soares;1024;16;993;2
4103040;05;LESTE;Boa Ventura de São Roque;625;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1586;0
4104451;05;LESTE;Cantagalo;1193;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;446;6;434;0
4109401;05;LESTE;Guarapuava;22901;615;21624;7
4113254;05;LESTE;Laranjal;414;13;399;0
4113304;05;LESTE;Laranjeiras do Sul;3116;101;2941;0
4115457;05;LESTE;Marquinho;391;8;379;1
4117057;05;LESTE;Nova Laranjeiras;1001;12;987;0
4117800;05;LESTE;Palmital;1501;39;1452;0
4119301;05;LESTE;Pinhão;2454;88;2343;0
4119608;05;LESTE;Pitanga;4007;57;3923;1
4120150;05;LESTE;Porto Barreiro;326;4;320;3
4120606;05;LESTE;Prudentópolis;4395;109;4237;2
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;0
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;385;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;1
4102901;06;LESTE;Bituruna;1483;22;1408;0
4106803;06;LESTE;Cruz Machado;1421;27;1389;1
4108502;06;LESTE;General Carneiro;910;35;863;1
4118600;06;LESTE;Paula Freitas;712;16;680;2
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4643;87;4499;1
4128203;06;LESTE;União da Vitória;8342;147;8168;5
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;3
4105409;07;OESTE;Chopinzinho;2662;53;2609;4
4105706;07;OESTE;Clevelândia;2257;89;2115;14
4106456;07;OESTE;Coronel Domingos Soares;1230;18;1212;1
4106506;07;OESTE;Coronel Vivida;3380;85;3284;1
4109658;07;OESTE;Honório Serpa;616;11;602;1
4111209;07;OESTE;Itapejara d'Oeste;2118;47;2068;16
4114401;07;OESTE;Mangueirinha;2183;51;2129;2
4115309;07;OESTE;Mariópolis;750;25;709;7
4117602;07;OESTE;Palmas;6909;165;6743;4
4118501;07;OESTE;Pato Branco;14123;304;13778;75
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;382;0
4124806;07;OESTE;São João;1620;25;1593;0
4128708;07;OESTE;Vitorino;1124;37;1086;1
4101002;08;OESTE;Ampére;2714;60;2635;2
4102604;08;OESTE;Barracão;1391;37;1350;2
4102752;08;OESTE;Bela Vista da Caroba;237;7;227;1
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;522;0
4104501;08;OESTE;Capanema;2785;28;2750;1
4106571;08;OESTE;Cruzeiro do Iguaçu;540;14;526;0
4107207;08;OESTE;Dois Vizinhos;7063;99;6938;3
4107405;08;OESTE;Enéas Marques;789;17;771;3
4107850;08;OESTE;Flor da Serra do Sul;637;25;608;0
4108403;08;OESTE;Francisco Beltrão;16824;280;16053;20
4114351;08;OESTE;Manfrinópolis;244;5;238;2
4115408;08;OESTE;Marmeleiro;2398;50;2343;1
4116950;08;OESTE;Nova Esperança do Sudoeste;668;11;637;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;0
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1278;20;1258;2
4120358;08;OESTE;Pranchita;760;8;728;1
4119004;08;OESTE;Pérola d'Oeste;526;8;514;1
4121406;08;OESTE;Realeza;2596;42;2551;4
4121604;08;OESTE;Renascença;848;21;818;0
4122800;08;OESTE;Salgado Filho;500;11;488;0
4123006;08;OESTE;Salto do Lontra;1855;30;1820;1
4123808;08;OESTE;Santa Izabel do Oeste;1359;35;1315;1
4124400;08;OESTE;Santo Antônio do Sudoeste;2514;32;2426;1
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1190;24;1166;0
4108304;09;OESTE;Foz do Iguaçu;46032;1189;42528;5295
4110953;09;OESTE;Itaipulândia;1603;27;1560;9
4115606;09;OESTE;Matelândia;3075;66;2970;7
4115804;09;OESTE;Medianeira;8287;146;8065;15
4116059;09;OESTE;Missal;1281;21;1253;12
4121257;09;OESTE;Ramilândia;486;12;470;0
4124053;09;OESTE;Santa Terezinha de Itaipu;3653;111;3533;74
4126355;09;OESTE;Serranópolis do Iguaçu;670;14;656;2
4125704;09;OESTE;São Miguel do Iguaçu;3702;77;3576;9
4101051;10;OESTE;Anahy;470;13;456;0
4103057;10;OESTE;Boa Vista da Aparecida;1169;35;1132;0
4103354;10;OESTE;Braganey;683;11;671;0
4103453;10;OESTE;Cafelândia;3022;43;2978;1
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;1998;31;1964;0
4104808;10;OESTE;Cascavel;49860;1132;48107;96
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2987;46;2924;1
4105300;10;OESTE;Céu Azul;1690;35;1647;10
4107124;10;OESTE;Diamante do Sul;550;17;530;0
4107546;10;OESTE;Espigão Alto do Iguaçu;506;7;499;0
4108205;10;OESTE;Formosa do Oeste;738;22;713;0
4109302;10;OESTE;Guaraniaçu;1860;32;1734;2
4109757;10;OESTE;Ibema;579;27;550;1
4110052;10;OESTE;Iguatu;333;12;320;0
4110656;10;OESTE;Iracema do Oeste;244;5;237;0
4112751;10;OESTE;Jesuítas;1134;21;1112;0
4113452;10;OESTE;Lindoeste;635;10;589;1
4116703;10;OESTE;Nova Aurora;1839;48;1785;1
4120903;10;OESTE;Quedas do Iguaçu;3955;81;3869;0
4123824;10;OESTE;Santa Lúcia;274;8;265;0
4124020;10;OESTE;Santa Tereza do Oeste;1344;35;1254;2
4127858;10;OESTE;Três Barras do Paraná;1594;58;1535;0
4128559;10;OESTE;Vera Cruz do Oeste;1258;48;1206;4
4100459;11;NOROESTE;Altamira do Paraná;312;13;299;0
4101705;11;NOROESTE;Araruna;2227;37;2181;0
4102505;11;NOROESTE;Barbosa Ferraz;1516;46;1426;1
