IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2658;73;2575;1
4109500;01;LESTE;Guaraqueçaba;761;19;740;0
4109609;01;LESTE;Guaratuba;5583;185;5381;0
4115705;01;LESTE;Matinhos;4066;148;3908;1
4116208;01;LESTE;Morretes;2296;56;2217;2
4118204;01;LESTE;Paranaguá;25295;567;24485;6
4119954;01;LESTE;Pontal do Paraná;3837;130;3674;0
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11490;440;10403;11
4101804;02;LESTE;Araucária;30056;559;29474;24
4102307;02;LESTE;Balsa Nova;1765;37;1631;0
4103107;02;LESTE;Bocaiúva do Sul;2241;29;2159;0
4104006;02;LESTE;Campina Grande do Sul;6088;171;5814;2
4104204;02;LESTE;Campo Largo;21169;509;20609;8
4104253;02;LESTE;Campo Magro;3643;91;3310;0
4104105;02;LESTE;Campo do Tenente;368;19;349;0
4105201;02;LESTE;Cerro Azul;1495;54;1433;1
4105805;02;LESTE;Colombo;26708;898;25151;24
4106209;02;LESTE;Contenda;2703;72;2543;0
4106902;02;LESTE;Curitiba;223270;7871;209804;472
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16676;479;15867;21
4111258;02;LESTE;Itaperuçu;3983;123;3822;0
4113205;02;LESTE;Lapa;5025;135;4870;2
4114302;02;LESTE;Mandirituba;3676;98;3519;2
4119152;02;LESTE;Pinhais;19431;608;18206;16
4119509;02;LESTE;Piraquara;14025;347;13156;2
4119103;02;LESTE;Piên;1948;31;1903;0
4120804;02;LESTE;Quatro Barras;3903;107;3733;7
4121208;02;LESTE;Quitandinha;1748;60;1680;2
4122206;02;LESTE;Rio Branco do Sul;5762;157;5486;0
4122305;02;LESTE;Rio Negro;2241;72;2167;3
4125506;02;LESTE;São José dos Pinhais;35489;1116;33599;55
4127601;02;LESTE;Tijucas do Sul;2313;76;2233;0
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3424;68;3335;1
4104659;03;LESTE;Carambeí;3891;72;3797;0
4104907;03;LESTE;Castro;12015;255;11607;3
4110508;03;LESTE;Ipiranga;1387;32;1287;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4409;94;4291;12
4119400;03;LESTE;Piraí do Sul;3432;86;3246;0
4119905;03;LESTE;Ponta Grossa;55642;1410;52562;15
