IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2572;0
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5574;185;5347;3
4115705;01;LESTE;Matinhos;4061;148;3900;3
4116208;01;LESTE;Morretes;2294;56;2215;2
4118204;01;LESTE;Paranaguá;24812;567;24029;8
4119954;01;LESTE;Pontal do Paraná;3818;130;3662;5
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;977;33;918;0
4100400;02;LESTE;Almirante Tamandaré;11449;439;10370;17
4101804;02;LESTE;Araucária;30008;559;29422;26
4102307;02;LESTE;Balsa Nova;1768;37;1635;1
4103107;02;LESTE;Bocaiúva do Sul;2240;29;2151;2
4104006;02;LESTE;Campina Grande do Sul;6081;171;5812;6
4104204;02;LESTE;Campo Largo;21098;510;20543;9
4104253;02;LESTE;Campo Magro;3640;91;3310;1
4104105;02;LESTE;Campo do Tenente;368;19;349;2
4105201;02;LESTE;Cerro Azul;1488;54;1433;1
4105805;02;LESTE;Colombo;26675;900;25121;35
4106209;02;LESTE;Contenda;2695;72;2544;2
4106902;02;LESTE;Curitiba;221958;7872;208875;621
4128633;02;LESTE;Doutor Ulysses;364;8;352;1
4107652;02;LESTE;Fazenda Rio Grande;16661;479;15857;32
4111258;02;LESTE;Itaperuçu;3982;123;3822;1
4113205;02;LESTE;Lapa;5017;136;4860;5
4114302;02;LESTE;Mandirituba;3674;98;3518;3
4119152;02;LESTE;Pinhais;19461;608;18245;27
4119509;02;LESTE;Piraquara;14005;347;13144;11
4119103;02;LESTE;Piên;1945;31;1898;0
4120804;02;LESTE;Quatro Barras;3878;106;3714;7
4121208;02;LESTE;Quitandinha;1744;60;1678;1
4122206;02;LESTE;Rio Branco do Sul;5749;157;5484;7
4122305;02;LESTE;Rio Negro;2240;72;2167;2
4125506;02;LESTE;São José dos Pinhais;35250;1114;33388;79
4127601;02;LESTE;Tijucas do Sul;2311;76;2233;2
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3420;68;3329;1
4104659;03;LESTE;Carambeí;3884;72;3792;0
4104907;03;LESTE;Castro;12002;254;11577;4
4110508;03;LESTE;Ipiranga;1382;32;1286;0
4111407;03;LESTE;Ivaí;1226;25;1188;0
4112009;03;LESTE;Jaguariaíva;4853;156;4693;0
4117701;03;LESTE;Palmeira;4401;95;4285;5
4119400;03;LESTE;Piraí do Sul;3427;86;3246;0
4119905;03;LESTE;Ponta Grossa;54962;1408;51851;15
4120101;03;LESTE;Porto Amazonas;521;21;484;0
4126306;03;LESTE;Sengés;2561;62;2493;0
4125100;03;LESTE;São João do Triunfo;854;10;655;1
4107736;04;LESTE;Fernandes Pinheiro;642;14;557;0
4108957;04;LESTE;Guamiranga;1304;21;1261;0
4110102;04;LESTE;Imbituva;5090;116;4948;2
4110201;04;LESTE;Inácio Martins;1399;19;1246;0
4110706;04;LESTE;Irati;9714;195;9496;3
4113908;04;LESTE;Mallet;880;14;864;1
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1396;0
4127007;04;LESTE;Teixeira Soares;1023;16;989;2
4103040;05;LESTE;Boa Ventura de São Roque;625;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1566;0
4104451;05;LESTE;Cantagalo;1193;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;446;6;434;0
4109401;05;LESTE;Guarapuava;22900;615;21623;6
4113254;05;LESTE;Laranjal;414;13;399;0
4113304;05;LESTE;Laranjeiras do Sul;3115;101;2940;1
4115457;05;LESTE;Marquinho;391;8;379;0
4117057;05;LESTE;Nova Laranjeiras;1000;12;986;0
4117800;05;LESTE;Palmital;1500;39;1451;0
4119301;05;LESTE;Pinhão;2454;88;2343;0
4119608;05;LESTE;Pitanga;4004;57;3919;0
4120150;05;LESTE;Porto Barreiro;325;4;320;2
4120606;05;LESTE;Prudentópolis;4391;109;4234;2
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;1
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;385;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;1
4102901;06;LESTE;Bituruna;1482;22;1408;0
4106803;06;LESTE;Cruz Machado;1421;27;1389;1
4108502;06;LESTE;General Carneiro;910;35;863;1
4118600;06;LESTE;Paula Freitas;712;16;680;2
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4642;87;4499;1
4128203;06;LESTE;União da Vitória;8341;147;8167;3
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;3
4105409;07;OESTE;Chopinzinho;2662;53;2608;2
4105706;07;OESTE;Clevelândia;2257;89;2115;13
4106456;07;OESTE;Coronel Domingos Soares;1230;18;1212;1
4106506;07;OESTE;Coronel Vivida;3378;85;3284;4
4109658;07;OESTE;Honório Serpa;616;11;602;2
4111209;07;OESTE;Itapejara d'Oeste;2117;47;2067;16
4114401;07;OESTE;Mangueirinha;2183;51;2129;3
4115309;07;OESTE;Mariópolis;749;25;708;7
4117602;07;OESTE;Palmas;6908;165;6742;5
4118501;07;OESTE;Pato Branco;14109;304;13766;71
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;382;0
4124806;07;OESTE;São João;1619;25;1593;0
4128708;07;OESTE;Vitorino;1124;37;1086;2
4101002;08;OESTE;Ampére;2711;60;2634;1
4102604;08;OESTE;Barracão;1391;37;1350;1
4102752;08;OESTE;Bela Vista da Caroba;237;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;522;0
4104501;08;OESTE;Capanema;2784;28;2750;1
4106571;08;OESTE;Cruzeiro do Iguaçu;540;14;526;0
4107207;08;OESTE;Dois Vizinhos;7060;99;6935;3
4107405;08;OESTE;Enéas Marques;789;17;771;0
4107850;08;OESTE;Flor da Serra do Sul;636;25;608;0
4108403;08;OESTE;Francisco Beltrão;16823;280;16052;9
4114351;08;OESTE;Manfrinópolis;243;5;238;0
4115408;08;OESTE;Marmeleiro;2397;50;2343;0
4116950;08;OESTE;Nova Esperança do Sudoeste;668;11;637;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;0
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1278;20;1258;3
4120358;08;OESTE;Pranchita;756;8;723;1
4119004;08;OESTE;Pérola d'Oeste;526;8;514;0
4121406;08;OESTE;Realeza;2592;42;2549;1
4121604;08;OESTE;Renascença;847;21;817;0
4122800;08;OESTE;Salgado Filho;500;11;488;0
4123006;08;OESTE;Salto do Lontra;1854;30;1818;0
4123808;08;OESTE;Santa Izabel do Oeste;1357;35;1315;2
4124400;08;OESTE;Santo Antônio do Sudoeste;2498;32;2405;2
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1190;24;1166;0
4108304;09;OESTE;Foz do Iguaçu;46001;1188;42528;6102
4110953;09;OESTE;Itaipulândia;1601;27;1557;5
4115606;09;OESTE;Matelândia;3071;66;2970;17
4115804;09;OESTE;Medianeira;8285;146;8062;15
4116059;09;OESTE;Missal;1280;21;1251;15
4121257;09;OESTE;Ramilândia;486;12;469;1
4124053;09;OESTE;Santa Terezinha de Itaipu;3651;111;3527;70
4126355;09;OESTE;Serranópolis do Iguaçu;669;14;655;2
4125704;09;OESTE;São Miguel do Iguaçu;3699;77;3576;23
4101051;10;OESTE;Anahy;470;13;456;0
4103057;10;OESTE;Boa Vista da Aparecida;1169;35;1132;0
4103354;10;OESTE;Braganey;683;11;671;0
4103453;10;OESTE;Cafelândia;3022;43;2978;1
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;1998;31;1964;0
4104808;10;OESTE;Cascavel;49854;1131;48103;91
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2985;46;2924;1
