IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2572;0
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5571;185;5341;1
4115705;01;LESTE;Matinhos;4053;148;3893;1
4116208;01;LESTE;Morretes;2293;56;2214;2
4118204;01;LESTE;Paranaguá;24672;567;23886;2
4119954;01;LESTE;Pontal do Paraná;3815;130;3660;1
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;976;33;917;0
4100400;02;LESTE;Almirante Tamandaré;11433;439;10359;10
4101804;02;LESTE;Araucária;29969;557;29377;28
4102307;02;LESTE;Balsa Nova;1769;37;1637;0
4103107;02;LESTE;Bocaiúva do Sul;2240;30;2151;1
4104006;02;LESTE;Campina Grande do Sul;6082;170;5814;4
4104204;02;LESTE;Campo Largo;21083;512;20523;5
4104253;02;LESTE;Campo Magro;3639;92;3310;1
4104105;02;LESTE;Campo do Tenente;367;19;348;0
4105201;02;LESTE;Cerro Azul;1488;54;1433;1
4105805;02;LESTE;Colombo;26653;899;25085;20
4106209;02;LESTE;Contenda;2687;73;2543;1
4106902;02;LESTE;Curitiba;220294;7863;207423;482
4128633;02;LESTE;Doutor Ulysses;364;8;352;0
4107652;02;LESTE;Fazenda Rio Grande;16652;480;15845;28
4111258;02;LESTE;Itaperuçu;3977;123;3814;0
4113205;02;LESTE;Lapa;5016;135;4860;2
4114302;02;LESTE;Mandirituba;3673;98;3518;2
4119152;02;LESTE;Pinhais;19467;608;18257;18
4119509;02;LESTE;Piraquara;13989;347;13139;5
4119103;02;LESTE;Piên;1942;31;1898;0
4120804;02;LESTE;Quatro Barras;3856;106;3693;7
4121208;02;LESTE;Quitandinha;1743;60;1678;0
4122206;02;LESTE;Rio Branco do Sul;5745;158;5484;2
4122305;02;LESTE;Rio Negro;2241;72;2168;3
4125506;02;LESTE;São José dos Pinhais;35207;1113;33350;74
4127601;02;LESTE;Tijucas do Sul;2309;76;2230;1
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3421;67;3331;0
4104659;03;LESTE;Carambeí;3882;73;3788;0
4104907;03;LESTE;Castro;11992;254;11567;4
4110508;03;LESTE;Ipiranga;1379;32;1284;0
4111407;03;LESTE;Ivaí;1226;25;1186;0
4112009;03;LESTE;Jaguariaíva;4852;156;4692;1
4117701;03;LESTE;Palmeira;4391;95;4275;5
4119400;03;LESTE;Piraí do Sul;3426;86;3246;0
4119905;03;LESTE;Ponta Grossa;54509;1404;51344;51
4120101;03;LESTE;Porto Amazonas;521;22;483;0
4126306;03;LESTE;Sengés;2556;62;2489;0
4125100;03;LESTE;São João do Triunfo;854;10;655;0
4107736;04;LESTE;Fernandes Pinheiro;641;14;557;0
4108957;04;LESTE;Guamiranga;1304;21;1261;0
4110102;04;LESTE;Imbituva;5084;117;4937;1
4110201;04;LESTE;Inácio Martins;1399;19;1246;0
4110706;04;LESTE;Irati;9693;195;9463;1
4113908;04;LESTE;Mallet;879;14;861;0
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1396;0
4127007;04;LESTE;Teixeira Soares;1018;16;965;2
4103040;05;LESTE;Boa Ventura de São Roque;624;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1515;1
4104451;05;LESTE;Cantagalo;1192;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;0
4108650;05;LESTE;Goioxim;445;6;434;0
4109401;05;LESTE;Guarapuava;22888;615;21624;4
4113254;05;LESTE;Laranjal;414;13;397;0
4113304;05;LESTE;Laranjeiras do Sul;3092;100;2915;0
4115457;05;LESTE;Marquinho;391;8;379;0
4117057;05;LESTE;Nova Laranjeiras;1000;12;981;0
4117800;05;LESTE;Palmital;1499;39;1449;0
4119301;05;LESTE;Pinhão;2456;89;2344;0
4119608;05;LESTE;Pitanga;3999;55;3897;0
4120150;05;LESTE;Porto Barreiro;324;4;319;1
4120606;05;LESTE;Prudentópolis;4365;109;4221;1
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;1
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;384;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;0
4102901;06;LESTE;Bituruna;1480;22;1408;0
4106803;06;LESTE;Cruz Machado;1420;27;1388;0
4108502;06;LESTE;General Carneiro;910;35;863;0
4118600;06;LESTE;Paula Freitas;711;16;680;1
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4633;87;4491;1
4128203;06;LESTE;União da Vitória;8337;147;8142;1
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;2
4105409;07;OESTE;Chopinzinho;2660;52;2608;3
4105706;07;OESTE;Clevelândia;2257;89;2115;21
4106456;07;OESTE;Coronel Domingos Soares;1229;18;1211;1
4106506;07;OESTE;Coronel Vivida;3372;85;3277;1
4109658;07;OESTE;Honório Serpa;616;11;602;1
4111209;07;OESTE;Itapejara d'Oeste;2117;46;2066;18
4114401;07;OESTE;Mangueirinha;2181;51;2128;1
4115309;07;OESTE;Mariópolis;747;25;706;16
4117602;07;OESTE;Palmas;6905;165;6738;3
4118501;07;OESTE;Pato Branco;14038;306;13695;73
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;382;0
4124806;07;OESTE;São João;1618;25;1593;2
4128708;07;OESTE;Vitorino;1123;37;1086;2
4101002;08;OESTE;Ampére;2707;60;2629;0
4102604;08;OESTE;Barracão;1390;37;1350;1
4102752;08;OESTE;Bela Vista da Caroba;234;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;520;0
4104501;08;OESTE;Capanema;2774;28;2734;1
4106571;08;OESTE;Cruzeiro do Iguaçu;539;14;525;0
4107207;08;OESTE;Dois Vizinhos;7047;99;6914;2
4107405;08;OESTE;Enéas Marques;788;17;771;0
4107850;08;OESTE;Flor da Serra do Sul;635;25;608;0
4108403;08;OESTE;Francisco Beltrão;16824;280;16053;5
4114351;08;OESTE;Manfrinópolis;243;5;235;0
4115408;08;OESTE;Marmeleiro;2391;50;2337;0
4116950;08;OESTE;Nova Esperança do Sudoeste;668;11;637;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;0
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1278;20;1258;3
4120358;08;OESTE;Pranchita;735;8;706;1
4119004;08;OESTE;Pérola d'Oeste;524;8;514;0
4121406;08;OESTE;Realeza;2589;42;2544;0
4121604;08;OESTE;Renascença;846;21;815;0
4122800;08;OESTE;Salgado Filho;499;11;487;0
4123006;08;OESTE;Salto do Lontra;1849;31;1816;0
4123808;08;OESTE;Santa Izabel do Oeste;1354;35;1312;1
4124400;08;OESTE;Santo Antônio do Sudoeste;2444;32;2337;1
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1189;23;1165;0
4108304;09;OESTE;Foz do Iguaçu;45915;1204;42521;5242
4110953;09;OESTE;Itaipulândia;1598;27;1552;2
4115606;09;OESTE;Matelândia;3064;65;2958;1
4115804;09;OESTE;Medianeira;8269;147;8051;4
4116059;09;OESTE;Missal;1280;21;1251;11
4121257;09;OESTE;Ramilândia;486;12;469;0
4124053;09;OESTE;Santa Terezinha de Itaipu;3647;111;3525;56
4126355;09;OESTE;Serranópolis do Iguaçu;669;14;655;1
4125704;09;OESTE;São Miguel do Iguaçu;3681;77;3553;8
4101051;10;OESTE;Anahy;470;13;455;0
4103057;10;OESTE;Boa Vista da Aparecida;1166;35;1131;0
4103354;10;OESTE;Braganey;683;11;671;0
4103453;10;OESTE;Cafelândia;3022;43;2977;1
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;1995;31;1961;0
4104808;10;OESTE;Cascavel;49821;1131;48081;59
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2983;46;2921;0
